,Unnamed: 0,Movie Title,Gross Revenue (USD),Genre,tconst,Runtime (min),IMDB Rating,Worldwide Box Office (USD)
204,250,Transformers: The Last Knight,"$130,168,683","Action, Adventure, Sci-Fi",tt3371366,154.0,5.2,"$605,425,157"
205,251,Ghostbusters,"$128,344,089","Action, Comedy, Fantasy",tt1289401,116.0,5.2,"$229,147,509"
206,252,Kingsman: The Secret Service,"$128,261,724","Action, Adventure, Comedy",tt2802144,129.0,7.7,"$414,351,546"
207,253,Shutter Island,"$128,012,934","Mystery, Thriller",tt1130884,138.0,8.1,"$294,804,195"
208,254,Into the Woods,"$128,002,372","Adventure, Comedy, Drama",tt2180411,125.0,6.0,"$212,902,372"
209,257,Central Intelligence,"$127,440,871","Action, Comedy, Crime",tt1489889,107.0,6.3,"$216,972,543"
210,258,Anchorman 2: The Legend Continues,"$127,352,707",Comedy,tt1229340,119.0,6.3,"$171,464,676"
211,259,Bumblebee,"$127,195,589","Action, Adventure, Sci-Fi",tt4701182,114.0,6.9,"$467,989,645"
212,260,Super 8,"$127,004,179","Mystery, Sci-Fi, Thriller",tt1650062,112.0,7.0,"$260,095,986"
213,261,Lucy,"$126,663,600","Action, Sci-Fi, Thriller",tt2872732,89.0,6.4,"$458,863,600"
214,263,The Legend of Tarzan,"$126,643,061","Action, Adventure, Drama",tt0918940,110.0,6.3,"$356,700,357"
215,264,Prometheus,"$126,477,084","Adventure, Mystery, Sci-Fi",tt1446714,124.0,7.0,"$403,354,469"
216,265,Safe House,"$126,373,434","Action, Thriller",tt1599348,115.0,6.8,"$208,076,205"
217,266,Lone Survivor,"$125,095,601","Action, Biography, Drama",tt1091191,121.0,7.5,"$154,802,912"
218,267,Sully,"$125,070,033","Biography, Drama",tt3263904,96.0,7.5,"$240,797,623"
219,268,The Vow,"$125,014,030","Drama, Romance",tt1606389,104.0,6.8,"$196,114,570"
220,269,Life of Pi,"$124,987,023","Adventure, Drama, Fantasy",tt0454876,127.0,7.9,"$609,016,565"
221,270,The Fault in Our Stars,"$124,872,350","Drama, Romance",tt2582846,126.0,7.7,"$307,166,834"
222,271,Rango,"$123,477,607","Animation, Adventure, Comedy",tt1192628,107.0,7.2,"$245,724,603"
223,272,The Good Dinosaur,"$123,087,120","Animation, Adventure, Comedy",tt1979388,93.0,6.7,"$332,207,671"
224,273,G.I. Joe: Retaliation,"$122,523,060","Action, Adventure, Sci-Fi",tt1583421,110.0,5.8,"$375,740,705"
225,274,Mamma Mia! Here We Go Again,"$120,634,935","Comedy, Musical, Romance",tt6911608,114.0,6.7,"$395,044,706"
226,275,Cloudy with a Chance of Meatballs 2,"$119,793,567","Animation, Adventure, Comedy",tt1985966,95.0,6.4,"$274,325,949"
227,276,The Other Guys,"$119,219,978","Action, Comedy, Crime",tt1386588,107.0,6.7,"$170,458,922"
228,277,Salt,"$118,311,368","Action, Mystery, Thriller",tt0944835,100.0,6.4,"$293,503,354"
229,278,Now You See Me,"$117,723,989","Crime, Mystery, Thriller",tt1670345,115.0,7.3,"$351,723,989"
230,280,Horrible Bosses,"$117,538,559","Comedy, Crime",tt1499658,98.0,6.9,"$209,838,559"
231,281,The Nun,"$117,450,119","Horror, Mystery, Thriller",tt2215221,112.0,6.5,"$32,659"
232,283,Jackass 3D,"$117,224,271","Documentary, Action, Comedy",tt1116184,95.0,7.0,"$171,685,792"
233,284,The Wolf of Wall Street,"$116,900,694","Biography, Crime, Drama",tt0993846,180.0,8.2,"$392,000,694"
234,287,Green Lantern,"$116,601,172","Action, Adventure, Sci-Fi",tt1133985,114.0,5.5,"$219,851,172"
